soundLoc,sourceLoc,isCatch
right,left,False
right,right,False
left,left,True
right,right,False
left,left,False
right,right,False
left,left,False
right,right,False
right,left,False
right,right,False
left,left,False
right,right,False
left,left,False
right,right,False
left,right,True
left,left,False
left,right,False
left,left,False
right,right,False
left,left,False
left,right,False
left,left,False
left,right,False
left,left,False
left,right,False
left,left,False
right,right,False
left,left,False
right,right,False
left,left,False
right,right,False
left,left,False
right,right,False
left,left,False
right,right,False
left,left,False
right,right,False
right,left,False
right,right,False
right,left,False
right,right,False
left,left,False
right,right,False
right,left,False
right,right,False
left,left,False
left,right,False
left,left,False
right,right,False
left,left,False
left,left,False
right,right,False
right,left,False
left,left,False
left,right,False
left,left,False
right,right,False
left,left,False
right,right,False
left,left,False
