soundLoc,sourceLoc,isCatch
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,left,False
left,left,False
right,left,False
left,left,False
left,left,False
right,left,False
left,left,False
right,right,False
right,right,False
right,right,False
left,right,False
right,right,False
right,right,False
right,right,True
right,right,False
right,right,False
left,right,False
right,right,False
right,right,False
right,right,True
right,right,False
left,left,False
left,left,False
left,left,False
right,right,False
right,right,False
left,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
left,right,False
right,right,False
right,right,True
right,right,True
right,right,True
right,right,False
right,right,False
left,left,False
left,left,False
left,left,False
right,left,False
left,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
right,right,False
left,right,False
